Time,Temp,Hum,Gas,Motion,AQI,Status
2026-05-04 16:12:33,27.8,62.7,246.0,1.0,22.0,EXCELLENT
2026-05-04 16:12:35,27.8,62.2,436.0,0.0,65.7,MODERATE
2026-05-04 16:12:37,27.8,62.0,624.0,0.0,92.1,MODERATE
2026-05-04 16:12:39,27.8,61.6,880.0,0.0,129.2,UNHEALTHY
2026-05-04 16:12:41,27.9,62.3,1136.0,0.0,165.4,UNHEALTHY
2026-05-04 16:12:43,27.9,61.8,1230.0,0.0,178.8,UNHEALTHY
2026-05-04 16:12:45,27.9,61.1,1234.0,1.0,179.3,UNHEALTHY
2026-05-04 16:12:47,27.9,61.0,1187.0,1.0,172.7,UNHEALTHY
2026-05-04 16:12:49,27.9,61.3,1110.0,0.0,161.8,UNHEALTHY
2026-05-04 16:12:51,27.9,61.2,1059.0,0.0,154.5,UNHEALTHY
2026-05-04 16:12:53,27.9,60.6,974.0,0.0,142.5,UNHEALTHY
2026-05-04 16:12:55,27.9,60.3,943.0,0.0,138.1,UNHEALTHY
2026-05-04 16:12:57,27.9,60.1,905.0,0.0,132.7,UNHEALTHY
2026-05-04 16:12:59,27.9,59.9,873.0,0.0,128.2,UNHEALTHY
2026-05-04 16:13:01,27.9,59.7,831.0,0.0,122.2,UNHEALTHY
2026-05-04 16:13:03,27.9,59.5,806.0,0.0,118.7,UNHEALTHY
2026-05-04 16:13:05,28.0,59.4,773.0,0.0,114.0,UNHEALTHY
2026-05-04 16:13:07,28.0,59.2,752.0,0.0,111.1,UNHEALTHY
2026-05-04 16:13:09,28.0,59.2,726.0,0.0,107.4,UNHEALTHY
2026-05-04 16:13:11,28.0,59.1,702.0,0.0,104.0,UNHEALTHY
2026-05-04 16:13:13,27.9,59.0,673.0,0.0,99.0,MODERATE
2026-05-04 16:13:15,28.0,58.8,659.0,0.0,97.1,MODERATE
2026-05-04 16:13:17,28.0,58.8,647.0,0.0,95.4,MODERATE
2026-05-04 16:13:19,28.0,58.9,638.0,0.0,94.1,MODERATE
2026-05-04 16:13:21,27.9,58.7,619.0,0.0,91.4,MODERATE
2026-05-04 16:13:23,27.9,58.7,599.0,0.0,88.6,MODERATE
2026-05-04 16:13:25,27.9,58.6,588.0,0.0,87.1,MODERATE
2026-05-04 16:13:27,27.9,58.5,575.0,1.0,85.3,MODERATE
2026-05-04 16:13:29,28.0,58.4,567.0,1.0,84.1,MODERATE
2026-05-04 16:13:31,27.9,58.5,546.0,0.0,81.2,MODERATE
2026-05-04 16:13:33,27.9,58.4,541.0,0.0,80.5,MODERATE
2026-05-04 16:13:35,27.9,58.5,528.0,1.0,78.7,MODERATE
2026-05-04 16:13:37,27.9,58.0,509.0,1.0,76.0,MODERATE
2026-05-04 16:13:39,27.9,58.1,486.0,0.0,72.8,MODERATE
2026-05-04 16:13:41,27.8,57.8,492.0,0.0,73.6,MODERATE
2026-05-04 16:13:43,27.9,57.8,482.0,0.0,72.2,MODERATE
2026-05-04 16:13:45,27.9,57.9,507.0,0.0,75.7,MODERATE
2026-05-04 16:13:47,27.8,57.8,502.0,0.0,75.0,MODERATE
2026-05-04 16:13:49,27.8,57.6,479.0,0.0,71.8,MODERATE
2026-05-04 16:13:51,27.8,57.7,479.0,0.0,71.8,MODERATE
2026-05-04 16:13:53,27.8,57.6,471.0,1.0,70.7,MODERATE
2026-05-04 16:13:55,27.7,57.6,464.0,1.0,69.7,MODERATE
2026-05-04 16:13:57,27.7,57.7,461.0,0.0,69.3,MODERATE
2026-05-04 16:13:59,27.7,57.8,457.0,0.0,68.7,MODERATE
2026-05-04 16:14:01,27.7,57.7,448.0,0.0,67.4,MODERATE
2026-05-04 16:14:03,27.7,57.8,468.0,0.0,70.2,MODERATE
