#,Device Model,Algorithm,Energy (J),Latency (ms),CPU %,F1 (Lab),F1 (Home),F1 (IoT),MAE (Avg),TPR %,FPR %
1,Raspberry Pi 4,Standard LSTM,0.282J,80.50ms,45.7%,0.846,0.801,0.754,0.150,81.5%,7.0%
2,Raspberry Pi 4,LightGBM,0.125J,35.62ms,44.1%,0.893,0.841,0.805,0.115,86.1%,5.4%
3,Raspberry Pi 4,XGBoost,0.127J,36.30ms,45.7%,0.920,0.879,0.836,0.091,89.3%,4.3%
4,Raspberry Pi 4,Attention Bi-LSTM,0.293J,83.80ms,45.3%,0.971,0.915,0.882,0.058,93.8%,2.7%
5,Raspberry Pi 4,TCN-LSTM Hybrid,0.278J,79.33ms,46.1%,0.991,0.941,0.903,0.041,95.6%,1.9%
6,Raspberry Pi 5,Standard LSTM,0.167J,33.34ms,27.7%,0.846,0.801,0.754,0.150,81.5%,7.0%
7,Raspberry Pi 5,LightGBM,0.067J,13.38ms,28.8%,0.893,0.841,0.805,0.115,86.1%,5.4%
8,Raspberry Pi 5,XGBoost,0.076J,15.30ms,29.2%,0.920,0.879,0.836,0.091,89.3%,4.3%
9,Raspberry Pi 5,Attention Bi-LSTM,0.156J,31.22ms,28.1%,0.971,0.915,0.882,0.058,93.8%,2.7%
10,Raspberry Pi 5,TCN-LSTM Hybrid,0.165J,33.05ms,26.9%,0.991,0.941,0.903,0.041,95.6%,1.9%
11,Jetson Nano,Standard LSTM,0.095J,11.86ms,11.3%,0.846,0.801,0.754,0.150,81.5%,7.0%
12,Jetson Nano,LightGBM,0.041J,5.09ms,13.1%,0.893,0.841,0.805,0.115,86.1%,5.4%
13,Jetson Nano,XGBoost,0.045J,5.65ms,11.9%,0.920,0.879,0.836,0.091,89.3%,4.3%
14,Jetson Nano,Attention Bi-LSTM,0.097J,12.16ms,13.2%,0.971,0.915,0.882,0.058,93.8%,2.7%
15,Jetson Nano,TCN-LSTM Hybrid,0.100J,12.46ms,11.7%,0.991,0.941,0.903,0.041,95.6%,1.9%
16,ESP32,Standard LSTM,0.595J,1190.10ms,92.1%,0.846,0.801,0.754,0.150,81.5%,7.0%
17,ESP32,LightGBM,0.261J,521.52ms,92.1%,0.893,0.841,0.805,0.115,86.1%,5.4%
18,ESP32,XGBoost,0.277J,553.53ms,92.0%,0.920,0.879,0.836,0.091,89.3%,4.3%
19,ESP32,Attention Bi-LSTM,0.589J,1178.78ms,92.6%,0.971,0.915,0.882,0.058,93.8%,2.7%
20,ESP32,TCN-LSTM Hybrid,0.611J,1222.93ms,93.0%,0.991,0.941,0.903,0.041,95.6%,1.9%
21,Google Coral,Standard LSTM,0.008J,3.91ms,7.9%,0.846,0.801,0.754,0.150,81.5%,7.0%
22,Google Coral,LightGBM,0.004J,1.71ms,8.4%,0.893,0.841,0.805,0.115,86.1%,5.4%
23,Google Coral,XGBoost,0.004J,1.81ms,9.5%,0.920,0.879,0.836,0.091,89.3%,4.3%
24,Google Coral,Attention Bi-LSTM,0.009J,4.19ms,8.9%,0.971,0.915,0.882,0.058,93.8%,2.7%
25,Google Coral,TCN-LSTM Hybrid,0.009J,4.16ms,8.6%,0.991,0.941,0.903,0.041,95.6%,1.9%
