Room_ID,DayType,Occupancy,Ventilation_Status,CO2,PM2.5,Humidity,Temperature,AQ_Label
1,0,49.0,1.0,989.74,31.17,63.11,21.75,1
1,0,11.0,1.0,924.59,27.32,68.03,27.51,1
1,0,29.0,0.0,604.05,73.84,53.51,25.32,0
1,0,28.0,0.0,692.2,62.94,58.52,23.99,0
1,0,16.0,0.0,533.12,26.56,69.34,19.56,0
1,0,33.0,,841.92,25.82,39.04,19.56,1
1,0,22.0,0.0,677.37,62.7,66.19,18.58,0
1,0,2.0,1.0,607.25,18.14,52.37,26.66,0
1,0,37.0,0.0,738.58,5.77,37.51,24.01,0
1,0,26.0,0.0,821.62,48.15,41.57,25.08,1
1,0,7.0,0.0,476.44,37.1,57.52,18.21,0
1,0,6.0,1.0,890.25,5.59,66.88,27.7,1
1,0,6.0,1.0,461.93,49.91,34.76,26.32,0
1,0,36.0,1.0,911.43,35.34,55.57,20.12,1
1,0,20.0,1.0,485.39,19.72,45.08,19.82,0
1,0,5.0,0.0,404.95,9.43,42.87,19.83,0
1,0,41.0,1.0,724.59,48.22,37.2,21.04,0
1,0,36.0,0.0,551.2,56.21,65.53,23.25,0
1,0,20.0,1.0,765.21,57.42,44.57,22.32,0
1,0,17.0,0.0,444.56,20.76,47.73,20.91,0
1,0,31.0,0.0,683.11,50.74,38.3,24.12,0
1,0,5.0,,786.65,22.14,54.31,19.39,0
1,0,,1.0,688.78,60.58,47.61,20.92,0
1,0,36.0,0.0,588.88,26.8,37.72,21.66,0
1,0,46.0,0.0,750.56,74.67,42.42,22.56,0
1,0,15.0,0.0,997.5,59.46,45.65,25.85,1
1,0,5.0,0.0,537.98,62.35,33.08,20.0,0
1,0,47.0,0.0,561.67,28.72,32.07,23.14,0
1,0,1.0,1.0,788.31,41.57,69.7,23.92,0
1,0,44.0,0.0,929.87,,67.11,18.46,1
1,0,18.0,1.0,593.57,23.28,53.73,24.08,0
1,0,41.0,0.0,745.54,,39.79,19.71,0
1,0,49.0,1.0,911.55,20.14,39.3,18.65,1
1,0,15.0,0.0,941.78,30.0,47.62,27.49,1
1,0,26.0,1.0,924.54,38.56,45.45,27.66,1
1,0,30.0,0.0,693.44,8.92,59.32,26.08,0
1,0,19.0,0.0,566.46,53.89,46.28,21.05,0
1,0,40.0,0.0,631.92,43.29,68.21,18.98,0
1,0,15.0,1.0,667.53,61.01,40.12,24.84,0
1,0,25.0,1.0,661.33,62.93,31.07,22.4,0
1,0,20.0,0.0,466.82,48.05,54.13,19.22,0
1,0,13.0,0.0,761.11,10.97,69.52,22.95,0
