#,Network Mode,Algorithm,Model Size (MB),Transfer Delay (ms),Bandwidth Status
0,Ethernet LAN,LSTM,0.16,3.27,High
1,Ethernet LAN,GRU,0.13,3.01,High
2,Ethernet LAN,Hybrid LSTM,0.40,5.22,High
3,Ethernet LAN,Random Forest,1.38,13.06,High
4,Ethernet LAN,Quantile Mapping,0.00,2.00,High
5,4G LTE,LSTM,0.16,70.48,High
6,4G LTE,GRU,0.13,65.22,High
7,4G LTE,Hybrid LSTM,0.40,109.30,High
8,4G LTE,Random Forest,1.38,266.17,Stable
9,4G LTE,Quantile Mapping,0.00,45.09,High
10,5G NSA,LSTM,0.16,17.83,High
11,5G NSA,GRU,0.13,17.25,High
12,5G NSA,Hybrid LSTM,0.40,22.14,High
13,5G NSA,Random Forest,1.38,39.57,High
14,5G NSA,Quantile Mapping,0.00,15.01,High
15,6G (Simulated),LSTM,0.16,1.16,High
16,6G (Simulated),GRU,0.13,1.13,High
17,6G (Simulated),Hybrid LSTM,0.40,1.40,High
18,6G (Simulated),Random Forest,1.38,2.38,High
19,6G (Simulated),Quantile Mapping,0.00,1.00,High
20,WiFi 6 (ax),LSTM,0.16,10.12,High
21,WiFi 6 (ax),GRU,0.13,9.69,High
22,WiFi 6 (ax),Hybrid LSTM,0.40,13.36,High
23,WiFi 6 (ax),Random Forest,1.38,26.43,High
24,WiFi 6 (ax),Quantile Mapping,0.00,8.01,High
25,WiFi 7 (be),LSTM,0.16,4.91,High
26,WiFi 7 (be),GRU,0.13,4.72,High
27,WiFi 7 (be),Hybrid LSTM,0.40,6.30,High
28,WiFi 7 (be),Random Forest,1.38,11.90,High
29,WiFi 7 (be),Quantile Mapping,0.00,4.00,High
