Room_ID,DayType,Occupancy,Ventilation_Status,CO2,PM2.5,Humidity,Temperature,AQ_Label
2,0,12,0,567,24.6,52,30,2
3,1,11,0,569,19.8,40.4,23.1,0
3,1,10,0,646,39.8,40.8,22,1
2,0,5,1,495,13.5,49.7,20.7,1
2,0,22,2,502,14.3,53.4,29.4,1
1,0,12,1,525,26.2,58.2,20.8,1
3,0,17,1,484,38.3,49,26.4,1
4,0,18,0,643,23.1,60.1,28,1
1,1,10,0,610,21.6,50,21.4,0
2,1,3,1,400,34.8,51.2,29.8,1
4,1,11,0,571,43,51.5,29,1
3,1,6,2,400,17.1,39,20,1
3,0,2,2,400,27.7,39.7,25.5,1
2,0,31,1,742,34.7,52.9,23.2,0
4,0,9,1,482,6.6,44.8,21.5,0
4,1,0,0,570,26.5,52.7,28.6,1
2,0,10,1,400,5,50.7,22.6,0
4,1,9,2,400,6.4,54.9,22.3,0
3,1,0,1,400,34.5,49.6,20,1
2,0,33,1,750,32.2,53.9,27.5,1
3,0,8,2,400,22.3,38.8,21.9,1
1,1,16,1,618,12.1,43.8,22.5,0
1,0,6,1,415,15.1,50.3,20,1
4,0,11,1,503,24.1,46.3,25.5,0
1,1,3,0,507,46.9,55.7,23.7,1
1,1,1,1,400,20.3,53,29.3,1
4,1,6,2,400,28.1,53.2,20.2,1
2,0,23,2,476,23.5,52,25.4,0
3,1,1,1,400,27.5,54,28.4,1
3,0,12,1,499,20.6,47.3,20,1
3,0,10,0,545,29.9,51,24.4,0
3,1,4,1,505,26.7,49.7,26.6,0
2,0,17,1,545,32.5,46.9,28.4,1
2,0,25,1,764,26.5,57,23.7,0
4,0,2,1,400,32.4,46.5,21.4,0
4,1,4,0,603,32.4,63.8,22.2,1
4,0,22,1,650,37.2,56.6,20.6,1
3,0,24,1,682,29.2,58.5,22.4,0
3,1,6,1,485,3.5,47.2,27.7,1
1,0,15,0,661,29.8,45.7,24.8,0
2,0,8,0,631,38.8,52.7,30.5,2
2,1,7,1,454,47.4,55.7,20,1
2,0,26,2,558,39.1,52.9,24.4,1
4,0,25,1,752,29.1,56.3,23.1,0
1,0,24,0,897,60.4,67,23.6,1
2,0,5,0,531,28.3,51.8,20.7,1
3,1,4,1,400,36.4,41.3,24.2,1
3,0,32,2,556,19.4,49.9,25.2,0
4,0,10,1,442,38.6,43,26.7,1
4,1,4,0,548,33.6,46,22.7,0
2,0,5,0,518,27.2,54.9,20,1
3,1,12,1,549,37.7,58.7,22.8,1
2,0,7,1,431,35,42.1,23.4,0
1,0,11,1,467,9.8,54.6,20.6,1
3,0,27,2,469,30.5,52.2,24.3,0
4,0,29,1,762,21.6,51.4,28.8,1
1,0,11,0,638,35.6,52.8,29.4,1
1,0,31,1,707,22.4,56.3,22.9,0
2,1,2,1,400,35.3,55.6,27.5,1
4,1,5,1,400,25.8,42.8,25.8,0
4,0,20,1,487,43.3,52.2,21.8,1
2,0,8,0,546,51.2,45.1,26.7,1
2,0,9,1,419,21.1,42.3,23.5,0
4,1,9,0,524,29.7,65.9,23.9,1
2,0,35,2,439,23.4,49.1,25.7,0
3,0,31,2,586,22.4,53.1,24.7,0
